station_id,city,month,days,tmax_median_c,peak_hour_median,daily_range_median_c,warmup_am_median_c,warmup_noon_median_c,late_ramp_median_c,afternoon_dew_median_c,morning_low_ceiling_share,midday_low_ceiling_share,reduced_visibility_share,precip_day_share,late_surge_share,cloud_break_share,dry_mixing_share,humid_sticky_share
CYYZ,Toronto,1,124,0.0,15.0,6.0,0.9000000000000006,1.0749999999999997,0.0,-6.75,0.5080645161290323,0.49193548387096775,0.3951612903225806,0.3629032258064516,0.13709677419354838,0.03225806451612903,0.0,0.0
CYYZ,Toronto,2,113,2.0,15.0,7.0,1.8,2.025,0.07499999999999996,-6.0,0.3008849557522124,0.2831858407079646,0.3893805309734513,0.26548672566371684,0.21238938053097345,0.05309734513274336,0.017699115044247787,0.0
CYYZ,Toronto,3,120,5.0,15.708333333333332,7.0,1.975,2.0,0.10000000000000009,-2.15,0.26666666666666666,0.35,0.3416666666666667,0.30833333333333335,0.375,0.05,0.11666666666666667,0.0
CYYZ,Toronto,4,120,12.0,17.0,8.25,2.5,2.0,1.0,0.925,0.19166666666666668,0.2833333333333333,0.23333333333333334,0.275,0.5083333333333333,0.058333333333333334,0.16666666666666666,0.0
CYYZ,Toronto,5,124,20.0,17.0,9.75,4.0,2.0,1.0,8.3,0.16129032258064516,0.1693548387096774,0.12903225806451613,0.21774193548387097,0.4838709677419355,0.016129032258064516,0.2661290322580645,0.008064516129032258
CYYZ,Toronto,6,120,24.0,16.0,9.100000000000001,4.0,2.0250000000000004,1.0,12.875,0.125,0.125,0.1,0.20833333333333334,0.49166666666666664,0.016666666666666666,0.24166666666666667,0.1
CYYZ,Toronto,7,124,27.299999999999997,17.0,9.05,4.125,2.0,1.0,16.8,0.056451612903225805,0.08870967741935484,0.10483870967741936,0.16129032258064516,0.49193548387096775,0.016129032258064516,0.18548387096774194,0.12903225806451613
CYYZ,Toronto,8,117,26.0,16.0,9.0,4.25,2.0500000000000007,1.0,15.3,0.15384615384615385,0.1623931623931624,0.07692307692307693,0.15384615384615385,0.47863247863247865,0.05128205128205128,0.1111111111111111,0.1452991452991453
CYYZ,Toronto,9,90,23.0,15.5,9.0,4.0,3.0,0.07500000000000107,14.8,0.13333333333333333,0.18888888888888888,0.06666666666666667,0.15555555555555556,0.3111111111111111,0.022222222222222223,0.1,0.1111111111111111
CYYZ,Toronto,10,93,15.0,16.0,9.0,3.0,3.0,0.8499999999999996,5.8,0.11827956989247312,0.1827956989247312,0.053763440860215055,0.17204301075268819,0.3333333333333333,0.043010752688172046,0.15053763440860216,0.010752688172043012
CYYZ,Toronto,11,87,9.0,15.0,7.0,1.8250000000000002,1.7999999999999998,-0.25,0.0,0.3103448275862069,0.26436781609195403,0.19540229885057472,0.20689655172413793,0.12643678160919541,0.05747126436781609,0.04597701149425287,0.0
CYYZ,Toronto,12,94,3.0,15.0,5.0,1.0,1.0,-0.06250000000000008,-3.0,0.4787234042553192,0.48936170212765956,0.425531914893617,0.32978723404255317,0.07446808510638298,0.0,0.0,0.0
EDDM,Munich,1,124,4.0,15.333333333333334,7.0,1.5,1.0,-1.0,-0.5,0.6129032258064516,0.6774193548387096,0.43548387096774194,0.0,0.03225806451612903,0.008064516129032258,0.0,0.0
EDDM,Munich,2,113,8.0,15.833333333333334,8.0,2.5,2.0,0.0,1.0,0.5929203539823009,0.5929203539823009,0.2920353982300885,0.0,0.12389380530973451,0.0,0.0,0.0
EDDM,Munich,3,120,12.0,16.333333333333332,11.0,5.0,3.0,0.0,2.0,0.38333333333333336,0.44166666666666665,0.18333333333333332,0.0,0.24166666666666667,0.0,0.0,0.0
EDDM,Munich,4,120,14.0,17.333333333333332,11.0,4.0,2.5,1.0,4.75,0.425,0.525,0.13333333333333333,0.0,0.5416666666666666,0.0,0.0,0.0
EDDM,Munich,5,123,20.0,17.333333333333332,12.0,4.5,2.5,1.0,9.0,0.37398373983739835,0.45528455284552843,0.10569105691056911,0.0,0.5284552845528455,0.0,0.0,0.0
EDDM,Munich,6,120,25.0,17.833333333333332,13.0,4.5,2.5,1.125,12.0,0.2916666666666667,0.3,0.06666666666666667,0.0,0.6583333333333333,0.0,0.0,0.016666666666666666
EDDM,Munich,7,124,25.0,17.833333333333332,11.5,4.0,2.5,1.0,12.5,0.33064516129032256,0.4274193548387097,0.07258064516129033,0.0,0.5725806451612904,0.0,0.0,0.016129032258064516
EDDM,Munich,8,116,26.0,17.333333333333332,13.0,5.5,3.0,1.0,14.75,0.28448275862068967,0.3448275862068966,0.1810344827586207,0.0,0.5948275862068966,0.0,0.0,0.04310344827586207
EDDM,Munich,9,90,21.0,17.083333333333332,11.0,5.0,3.0,0.5,12.75,0.34444444444444444,0.4666666666666667,0.34444444444444444,0.0,0.4666666666666667,0.0,0.0,0.0
EDDM,Munich,10,93,16.0,16.333333333333332,11.0,3.5,3.0,0.0,10.5,0.3978494623655914,0.46236559139784944,0.5483870967741935,0.0,0.24731182795698925,0.0,0.0,0.0
EDDM,Munich,11,86,9.0,14.833333333333334,7.0,2.0,1.5,-1.0,4.0,0.686046511627907,0.6976744186046512,0.5,0.0,0.023255813953488372,0.0,0.0,0.0
EDDM,Munich,12,93,4.0,15.333333333333334,5.0,1.0,1.0,-1.0,0.0,0.6559139784946236,0.6344086021505376,0.5376344086021505,0.0,0.07526881720430108,0.0,0.0,0.0
EGLC,London,1,124,8.5,15.583333333333334,5.0,1.0,1.0,-0.5,2.0,0.4274193548387097,0.41935483870967744,0.33064516129032256,0.0,0.06451612903225806,0.008064516129032258,0.0,0.0
EGLC,London,2,113,10.0,15.833333333333334,5.0,1.5,1.0,-0.5,4.0,0.4424778761061947,0.5132743362831859,0.23893805309734514,0.0,0.04424778761061947,0.017699115044247787,0.0,0.0
EGLC,London,3,120,13.0,15.833333333333334,6.0,2.0,1.5,0.0,4.5,0.4666666666666667,0.43333333333333335,0.35833333333333334,0.0,0.14166666666666666,0.058333333333333334,0.125,0.0
EGLC,London,4,120,14.5,16.333333333333332,7.0,3.0,2.0,0.0,4.5,0.24166666666666667,0.30833333333333335,0.175,0.0,0.21666666666666667,0.09166666666666666,0.175,0.0
EGLC,London,5,123,18.0,16.833333333333332,8.0,3.0,2.0,0.5,8.5,0.36585365853658536,0.42276422764227645,0.16260162601626016,0.0,0.34146341463414637,0.0975609756097561,0.17073170731707318,0.0
EGLC,London,6,120,22.0,16.833333333333332,9.0,3.5,2.5,0.5,10.0,0.24166666666666667,0.21666666666666667,0.058333333333333334,0.0,0.39166666666666666,0.125,0.2833333333333333,0.0
EGLC,London,7,124,23.0,17.333333333333332,8.0,3.0,2.0,0.5,11.5,0.2903225806451613,0.3225806451612903,0.06451612903225806,0.0,0.41935483870967744,0.04032258064516129,0.27419354838709675,0.0
EGLC,London,8,116,24.0,16.583333333333332,8.0,3.5,2.5,0.5,11.75,0.20689655172413793,0.21551724137931033,0.07758620689655173,0.0,0.3793103448275862,0.11206896551724138,0.21551724137931033,0.008620689655172414
EGLC,London,9,90,20.0,16.333333333333332,7.0,2.5,2.0,0.0,12.5,0.3333333333333333,0.3,0.3111111111111111,0.0,0.25555555555555554,0.08888888888888889,0.1111111111111111,0.0
EGLC,London,10,93,17.0,16.333333333333332,6.0,2.0,2.0,0.0,10.5,0.3225806451612903,0.3118279569892473,0.1827956989247312,0.0,0.11827956989247312,0.03225806451612903,0.021505376344086023,0.0
EGLC,London,11,86,12.0,14.833333333333334,4.5,1.5,1.0,-0.75,7.0,0.46511627906976744,0.4186046511627907,0.3488372093023256,0.0,0.03488372093023256,0.011627906976744186,0.0,0.0
EGLC,London,12,92,10.0,15.833333333333334,4.0,1.0,1.0,-0.5,5.0,0.5543478260869565,0.5760869565217391,0.40217391304347827,0.0,0.08695652173913043,0.0,0.0,0.0
KATL,Atlanta,1,124,11.7,15.866666666666667,9.450000000000001,3.35,3.1750000000000007,0.6999999999999993,-1.7,0.3467741935483871,0.3548387096774194,0.2903225806451613,0.5,0.1774193548387097,0.008064516129032258,0.1693548387096774,0.0
KATL,Atlanta,2,113,17.8,16.0,11.1,3.9000000000000004,3.3499999999999996,1.1000000000000014,2.5,0.39823008849557523,0.30973451327433627,0.21238938053097345,0.39823008849557523,0.30973451327433627,0.017699115044247787,0.3008849557522124,0.0
KATL,Atlanta,3,124,21.05,16.866666666666667,11.100000000000001,4.1499999999999995,4.149999999999999,1.5999999999999979,5.6,0.3064516129032258,0.28225806451612906,0.27419354838709675,0.41935483870967744,0.4435483870967742,0.06451612903225806,0.3548387096774194,0.0
KATL,Atlanta,4,120,24.4,17.0,10.85,4.725,3.400000000000002,1.1000000000000014,11.1,0.3,0.275,0.16666666666666666,0.4666666666666667,0.38333333333333336,0.06666666666666667,0.25833333333333336,0.008333333333333333
KATL,Atlanta,5,124,27.8,17.0,9.400000000000002,3.799999999999999,2.8000000000000007,1.0999999999999979,15.725000000000001,0.3467741935483871,0.33064516129032256,0.20161290322580644,0.5080645161290323,0.31451612903225806,0.07258064516129033,0.08870967741935484,0.14516129032258066
KATL,Atlanta,6,120,31.7,17.0,9.5,4.399999999999999,2.8000000000000007,0.9749999999999979,18.525,0.15833333333333333,0.15,0.2,0.48333333333333334,0.225,0.016666666666666666,0.10833333333333334,0.4
KATL,Atlanta,7,124,32.8,16.866666666666667,9.499999999999996,4.400000000000002,2.799999999999999,0.6000000000000014,20.975,0.1935483870967742,0.1693548387096774,0.13709677419354838,0.5887096774193549,0.1935483870967742,0.024193548387096774,0.024193548387096774,0.6451612903225806
KATL,Atlanta,8,119,31.7,16.866666666666667,9.400000000000002,4.399999999999999,2.8000000000000043,1.0999999999999979,20.6,0.3025210084033613,0.2689075630252101,0.17647058823529413,0.5378151260504201,0.2184873949579832,0.07563025210084033,0.008403361344537815,0.5462184873949579
KATL,Atlanta,9,90,28.3,16.866666666666667,9.2,4.299999999999999,2.8000000000000007,0.5999999999999979,17.2,0.25555555555555554,0.28888888888888886,0.15555555555555556,0.34444444444444444,0.15555555555555556,0.011111111111111112,0.1,0.25555555555555554
KATL,Atlanta,10,93,24.4,15.866666666666667,11.100000000000001,5.599999999999998,3.8999999999999986,0.6000000000000014,11.1,0.17204301075268819,0.16129032258064516,0.0967741935483871,0.17204301075268819,0.15053763440860216,0.053763440860215055,0.25806451612903225,0.021505376344086023
KATL,Atlanta,11,90,19.15,15.866666666666667,9.399999999999999,4.0,3.0749999999999993,0.0,8.100000000000001,0.36666666666666664,0.3111111111111111,0.28888888888888886,0.23333333333333334,0.03333333333333333,0.022222222222222223,0.1,0.044444444444444446
KATL,Atlanta,12,93,13.9,15.866666666666667,9.5,3.5999999999999996,3.3000000000000007,0.3000000000000007,1.1,0.44086021505376344,0.3763440860215054,0.34408602150537637,0.34408602150537637,0.08602150537634409,0.03225806451612903,0.13978494623655913,0.0
KDAL,Dallas,1,124,13.9,15.883333333333333,11.399999999999999,4.4,3.8499999999999996,0.375,-1.4,0.2903225806451613,0.27419354838709675,0.1935483870967742,0.20161290322580644,0.06451612903225806,0.056451612903225805,0.1935483870967742,0.0
KDAL,Dallas,2,113,18.9,15.883333333333333,12.2,4.200000000000001,3.4,0.5,2.2,0.37168141592920356,0.2920353982300885,0.23893805309734514,0.26548672566371684,0.13274336283185842,0.061946902654867256,0.18584070796460178,0.0
KDAL,Dallas,3,124,22.2,16.883333333333333,11.099999999999998,3.999999999999999,3.8999999999999986,1.1000000000000005,7.2,0.3225806451612903,0.29838709677419356,0.1935483870967742,0.3629032258064516,0.31451612903225806,0.04838709677419355,0.18548387096774194,0.008064516129032258
KDAL,Dallas,4,120,25.6,16.883333333333333,9.75,3.4000000000000012,3.3000000000000007,1.0999999999999979,12.2,0.49166666666666664,0.475,0.15833333333333333,0.38333333333333336,0.26666666666666666,0.05,0.14166666666666666,0.10833333333333334
KDAL,Dallas,5,124,30.0,16.883333333333333,9.5,3.799999999999997,2.8000000000000007,1.099999999999996,18.3,0.3870967741935484,0.3387096774193548,0.14516129032258066,0.45161290322580644,0.18548387096774194,0.04032258064516129,0.03225806451612903,0.2903225806451613
KDAL,Dallas,6,120,33.9,16.883333333333333,8.900000000000002,3.8999999999999986,3.1999999999999993,1.1000000000000014,20.6,0.2,0.20833333333333334,0.10833333333333334,0.2833333333333333,0.3,0.025,0.008333333333333333,0.5583333333333333
KDAL,Dallas,7,124,36.1,16.883333333333333,9.999999999999996,4.399999999999999,3.299999999999999,1.1000000000000014,19.4,0.13709677419354838,0.0967741935483871,0.024193548387096774,0.25806451612903225,0.3629032258064516,0.024193548387096774,0.056451612903225805,0.43548387096774194
KDAL,Dallas,8,119,36.7,16.883333333333333,10.0,4.399999999999999,3.3999999999999986,1.1000000000000014,19.4,0.06722689075630252,0.10084033613445378,0.04201680672268908,0.15126050420168066,0.3277310924369748,0.0,0.10084033613445378,0.33613445378151263
KDAL,Dallas,9,90,32.8,16.883333333333333,10.600000000000001,5.0,3.3000000000000007,1.1000000000000014,17.8,0.14444444444444443,0.13333333333333333,0.06666666666666667,0.28888888888888886,0.2777777777777778,0.03333333333333333,0.14444444444444443,0.18888888888888888
KDAL,Dallas,10,93,28.3,16.883333333333333,11.200000000000003,5.5,3.900000000000002,1.0999999999999979,10.6,0.1935483870967742,0.17204301075268819,0.0967741935483871,0.21505376344086022,0.21505376344086022,0.021505376344086023,0.3225806451612903,0.043010752688172046
KDAL,Dallas,11,90,20.3,15.883333333333333,10.0,4.699999999999999,2.6999999999999993,0.0,7.5,0.4222222222222222,0.3333333333333333,0.25555555555555554,0.25555555555555554,0.1111111111111111,0.022222222222222223,0.08888888888888889,0.06666666666666667
KDAL,Dallas,12,94,17.2,15.883333333333333,10.0,3.9000000000000004,2.8,0.0,3.3,0.3404255319148936,0.32978723404255317,0.2765957446808511,0.2765957446808511,0.0425531914893617,0.02127659574468085,0.10638297872340426,0.0
KLGA,New York,1,124,5.3,14.85,5.0,1.1750000000000003,1.35,0.0,-6.1,0.31451612903225806,0.3951612903225806,0.27419354838709675,0.5,0.12096774193548387,0.008064516129032258,0.008064516129032258,0.0
KLGA,New York,2,113,6.7,16.0,6.7,1.9500000000000002,1.95,0.2999999999999998,-6.1,0.21238938053097345,0.23893805309734514,0.23893805309734514,0.4336283185840708,0.26548672566371684,0.0,0.05309734513274336,0.0
KLGA,New York,3,124,11.1,15.85,7.200000000000001,2.2,2.4749999999999996,0.1250000000000009,-2.525,0.28225806451612906,0.2903225806451613,0.28225806451612906,0.5080645161290323,0.31451612903225806,0.03225806451612903,0.1935483870967742,0.0
KLGA,New York,4,120,15.0,15.85,7.699999999999999,2.1999999999999993,2.1999999999999993,0.5,0.9750000000000001,0.30833333333333335,0.325,0.24166666666666667,0.5166666666666667,0.23333333333333334,0.08333333333333333,0.21666666666666667,0.0
KLGA,New York,5,124,21.7,15.85,7.8,2.799999999999999,2.4499999999999975,0.12500000000000355,7.925000000000001,0.3064516129032258,0.29838709677419356,0.23387096774193547,0.5161290322580645,0.2903225806451613,0.056451612903225805,0.21774193548387097,0.008064516129032258
KLGA,New York,6,120,26.7,15.85,8.3,2.8000000000000007,2.1999999999999993,0.0,13.3,0.23333333333333334,0.275,0.16666666666666666,0.5,0.23333333333333334,0.041666666666666664,0.16666666666666666,0.08333333333333333
KLGA,New York,7,124,30.3,15.85,7.699999999999999,3.1499999999999986,2.1999999999999993,0.0,17.924999999999997,0.1693548387096774,0.1693548387096774,0.12903225806451613,0.5645161290322581,0.20967741935483872,0.024193548387096774,0.0967741935483871,0.1774193548387097
KLGA,New York,8,119,28.9,15.85,7.200000000000003,2.8000000000000007,2.200000000000003,0.0,15.6,0.2184873949579832,0.24369747899159663,0.16806722689075632,0.4789915966386555,0.16806722689075632,0.0,0.12605042016806722,0.16806722689075632
KLGA,New York,9,90,25.0,15.85,6.7,2.749999999999999,2.1999999999999993,0.27500000000000036,12.8,0.2777777777777778,0.24444444444444444,0.14444444444444443,0.4222222222222222,0.26666666666666666,0.022222222222222223,0.06666666666666667,0.12222222222222222
KLGA,New York,10,93,18.9,15.85,7.199999999999999,2.8,2.700000000000001,0.0,6.1,0.22580645161290322,0.25806451612903225,0.13978494623655913,0.34408602150537637,0.20430107526881722,0.021505376344086023,0.13978494623655913,0.010752688172043012
KLGA,New York,11,90,12.8,14.85,6.6000000000000005,2.1999999999999997,1.95,-0.2999999999999994,0.0,0.2111111111111111,0.23333333333333334,0.1111111111111111,0.3,0.1111111111111111,0.011111111111111112,0.06666666666666667,0.0
KLGA,New York,12,94,7.2,14.85,5.0,1.4499999999999993,1.3749999999999996,0.0,-3.3,0.35106382978723405,0.3829787234042553,0.2978723404255319,0.5106382978723404,0.10638297872340426,0.031914893617021274,0.010638297872340425,0.0
KMIA,Miami,1,124,25.6,14.366666666666667,7.800000000000001,3.5999999999999996,1.7000000000000028,-0.5000000000000009,16.1,0.23387096774193547,0.3387096774193548,0.11290322580645161,0.3064516129032258,0.07258064516129033,0.03225806451612903,0.20161290322580644,0.0
