city,icao,lat,lon,polymarket_city_slug,metar_api_24h,metar_api_latest,polymarket_search_url,polymarket_event_url_format,wunderground_url,nws_wfo,nws_discuss_url_format,tropicaltidbits_sounding_url_format,terrain_tag,terrain_tag2,terrain_sector,water_factor,city_sector,factor_summary,site_tag,water_sector,city_distance_km,urban_position
Miami,KMIA,25.7959,-80.2870,miami,https://aviationweather.gov/api/data/metar?ids=KMIA&format=json&hours=24,https://aviationweather.gov/api/data/metar?ids=KMIA&format=json,https://polymarket.com/search?q=Miami%20temperature,https://polymarket.com/event/highest-temperature-in-{city_slug}-on-{date_slug},https://www.wunderground.com/history/daily/KMIA,MFL,https://forecast.weather.gov/product.php?site={wfo}&issuedby={wfo}&product=AFD&format=txt&version=1&glossary=0,https://www.tropicaltidbits.com/analysis/models/sounding/?model={model}&runtime={runtime}&fh={fh}&lat={lat}&lon={lon}&stationID={station_id}&tc=&mode=regular,低地平原,滨海湿地,高地方位不显著,沿海影响,东,高地方位不显著·东北侧临水·主城西侧(城郊),海滨低地,东北侧临水,9.7,主城西侧(城郊)
Atlanta,KATL,33.6367,-84.4281,atlanta,https://aviationweather.gov/api/data/metar?ids=KATL&format=json&hours=24,https://aviationweather.gov/api/data/metar?ids=KATL&format=json,https://polymarket.com/search?q=Atlanta%20temperature,https://polymarket.com/event/highest-temperature-in-{city_slug}-on-{date_slug},https://www.wunderground.com/history/daily/KATL,FFC,https://forecast.weather.gov/product.php?site={wfo}&issuedby={wfo}&product=AFD&format=txt&version=1&glossary=0,https://www.tropicaltidbits.com/analysis/models/sounding/?model={model}&runtime={runtime}&fh={fh}&lat={lat}&lon={lon}&stationID={station_id}&tc=&mode=regular,内陆高地,城郊高地,高地方位不显著,内陆主导,北,高地方位不显著·内陆主导·主城南侧(城郊),内陆高地,内陆主导,13.0,主城南侧(城郊)
New York,KLGA,40.7769,-73.8740,nyc,https://aviationweather.gov/api/data/metar?ids=KLGA&format=json&hours=24,https://aviationweather.gov/api/data/metar?ids=KLGA&format=json,https://polymarket.com/search?q=New%20York%20temperature,https://polymarket.com/event/highest-temperature-in-{city_slug}-on-{date_slug},https://www.wunderground.com/history/daily/KLGA,OKX,https://forecast.weather.gov/product.php?site={wfo}&issuedby={wfo}&product=AFD&format=txt&version=1&glossary=0,https://www.tropicaltidbits.com/analysis/models/sounding/?model={model}&runtime={runtime}&fh={fh}&lat={lat}&lon={lon}&stationID={station_id}&tc=&mode=regular,低地平原,湾岸低地,北侧高地,近水体影响,西,北侧高地·东北侧临水·主城东侧,湾岸低地,东北侧临水,969.2,主城东侧
Dallas,KDAL,32.8471,-96.8517,dallas,https://aviationweather.gov/api/data/metar?ids=KDAL&format=json&hours=24,https://aviationweather.gov/api/data/metar?ids=KDAL&format=json,https://polymarket.com/search?q=Dallas%20temperature,https://polymarket.com/event/highest-temperature-in-{city_slug}-on-{date_slug},https://www.wunderground.com/history/daily/KDAL,FWD,https://forecast.weather.gov/product.php?site={wfo}&issuedby={wfo}&product=AFD&format=txt&version=1&glossary=0,https://www.tropicaltidbits.com/analysis/models/sounding/?model={model}&runtime={runtime}&fh={fh}&lat={lat}&lon={lon}&stationID={station_id}&tc=&mode=regular,低地缓丘,内陆平原,高地方位不显著,内陆主导,东南,高地方位不显著·内陆主导·主城西北侧(城郊),内陆平原,内陆主导,8.3,主城西北侧(城郊)
Chicago,KORD,41.9742,-87.9073,chicago,https://aviationweather.gov/api/data/metar?ids=KORD&format=json&hours=24,https://aviationweather.gov/api/data/metar?ids=KORD&format=json,https://polymarket.com/search?q=Chicago%20temperature,https://polymarket.com/event/highest-temperature-in-{city_slug}-on-{date_slug},https://www.wunderground.com/history/daily/KORD,LOT,https://forecast.weather.gov/product.php?site={wfo}&issuedby={wfo}&product=AFD&format=txt&version=1&glossary=0,https://www.tropicaltidbits.com/analysis/models/sounding/?model={model}&runtime={runtime}&fh={fh}&lat={lat}&lon={lon}&stationID={station_id}&tc=&mode=regular,低地平原,湖滨平原,高地方位不显著,近水体影响,东南,高地方位不显著·东北侧临水·主城西北侧(远郊),湖滨平原,东北侧临水,25.4,主城西北侧(远郊)
Seattle,KSEA,47.4502,-122.3088,seattle,https://aviationweather.gov/api/data/metar?ids=KSEA&format=json&hours=24,https://aviationweather.gov/api/data/metar?ids=KSEA&format=json,https://polymarket.com/search?q=Seattle%20temperature,https://polymarket.com/event/highest-temperature-in-{city_slug}-on-{date_slug},https://www.wunderground.com/history/daily/KSEA,SEW,https://forecast.weather.gov/product.php?site={wfo}&issuedby={wfo}&product=AFD&format=txt&version=1&glossary=0,https://www.tropicaltidbits.com/analysis/models/sounding/?model={model}&runtime={runtime}&fh={fh}&lat={lat}&lon={lon}&stationID={station_id}&tc=&mode=regular,低地缓丘,海陆过渡,高地方位不显著,内陆主导,南,高地方位不显著·内陆主导·城中,海陆缓丘,内陆主导,0.1,城中
Toronto,CYYZ,43.6777,-79.6248,toronto,https://aviationweather.gov/api/data/metar?ids=CYYZ&format=json&hours=24,https://aviationweather.gov/api/data/metar?ids=CYYZ&format=json,https://polymarket.com/search?q=Toronto%20temperature,https://polymarket.com/event/highest-temperature-in-{city_slug}-on-{date_slug},https://www.wunderground.com/history/daily/CYYZ,,,https://www.tropicaltidbits.com/analysis/models/sounding/?model={model}&runtime={runtime}&fh={fh}&lat={lat}&lon={lon}&stationID={station_id}&tc=&mode=regular,低地缓丘,湖滨内陆,西北侧高地,近水体影响,东,西北侧高地·东南侧临水·主城西侧(城郊),湖滨缓丘,东南侧临水,18.5,主城西侧(城郊)
Wellington,NZWN,-41.3272,174.8053,wellington,https://aviationweather.gov/api/data/metar?ids=NZWN&format=json&hours=24,https://aviationweather.gov/api/data/metar?ids=NZWN&format=json,https://polymarket.com/search?q=Wellington%20temperature,https://polymarket.com/event/highest-temperature-in-{city_slug}-on-{date_slug},https://www.wunderground.com/history/daily/NZWN,,,https://www.tropicaltidbits.com/analysis/models/sounding/?model={model}&runtime={runtime}&fh={fh}&lat={lat}&lon={lon}&stationID={station_id}&tc=&mode=regular,丘陵起伏,海湾丘陵,东北侧高地,沿海影响,西北,东北侧高地·北侧临水·城中,海湾丘陵,北侧临水,5.1,城中
Buenos Aires,SAEZ,-34.8222,-58.5358,buenos-aires,https://aviationweather.gov/api/data/metar?ids=SAEZ&format=json&hours=24,https://aviationweather.gov/api/data/metar?ids=SAEZ&format=json,https://polymarket.com/search?q=Buenos%20Aires%20temperature,https://polymarket.com/event/highest-temperature-in-{city_slug}-on-{date_slug},https://www.wunderground.com/history/daily/SAEZ,,,https://www.tropicaltidbits.com/analysis/models/sounding/?model={model}&runtime={runtime}&fh={fh}&lat={lat}&lon={lon}&stationID={station_id}&tc=&mode=regular,低地平原,河口平原,高地方位不显著,河口影响,东北,高地方位不显著·东北侧临水·主城西南侧(远郊),河口平原,东北侧临水,27.4,主城西南侧(远郊)
London,EGLC,51.5053,0.0553,london,https://aviationweather.gov/api/data/metar?ids=EGLC&format=json&hours=24,https://aviationweather.gov/api/data/metar?ids=EGLC&format=json,https://polymarket.com/search?q=London%20temperature,https://polymarket.com/event/highest-temperature-in-{city_slug}-on-{date_slug},https://www.wunderground.com/history/daily/EGLC,,,https://www.tropicaltidbits.com/analysis/models/sounding/?model={model}&runtime={runtime}&fh={fh}&lat={lat}&lon={lon}&stationID={station_id}&tc=&mode=regular,低地缓丘,河口低地,南侧高地,河口影响,西,南侧高地·东侧临水·主城东侧(城郊),河口低地,东侧临水,12.5,主城东侧(城郊)
Ankara,LTAC,40.1281,32.9950,ankara,https://aviationweather.gov/api/data/metar?ids=LTAC&format=json&hours=24,https://aviationweather.gov/api/data/metar?ids=LTAC&format=json,https://polymarket.com/search?q=Ankara%20temperature,https://polymarket.com/event/highest-temperature-in-{city_slug}-on-{date_slug},https://www.wunderground.com/history/daily/LTAC,,,https://www.tropicaltidbits.com/analysis/models/sounding/?model={model}&runtime={runtime}&fh={fh}&lat={lat}&lon={lon}&stationID={station_id}&tc=&mode=regular,高原起伏,城郊台地,北侧高地,内陆主导,西南,北侧高地·内陆主导·主城东北侧(远郊),内陆高原,内陆主导,26.1,主城东北侧(远郊)
Seoul,RKSI,37.4602,126.4407,seoul,https://aviationweather.gov/api/data/metar?ids=RKSI&format=json&hours=24,https://aviationweather.gov/api/data/metar?ids=RKSI&format=json,https://polymarket.com/search?q=Seoul%20temperature,https://polymarket.com/event/highest-temperature-in-{city_slug}-on-{date_slug},https://www.wunderground.com/history/daily/RKSI,,,https://www.tropicaltidbits.com/analysis/models/sounding/?model={model}&runtime={runtime}&fh={fh}&lat={lat}&lon={lon}&stationID={station_id}&tc=&mode=regular,填海低地,海湾填海,高地方位不显著,近水体影响,东,高地方位不显著·东南侧临水·主城西侧(远郊),填海机场,东南侧临水,48.9,主城西侧(远郊)
Tel Aviv,LLBG,32.0094,34.8828,tel-aviv,https://aviationweather.gov/api/data/metar?ids=LLBG&format=json&hours=24,https://aviationweather.gov/api/data/metar?ids=LLBG&format=json,https://polymarket.com/search?q=Tel%20Aviv%20temperature,https://polymarket.com/event/highest-temperature-in-{city_slug}-on-{date_slug},https://www.wunderground.com/history/daily/LLBG,,,https://www.tropicaltidbits.com/analysis/models/sounding/?model={model}&runtime={runtime}&fh={fh}&lat={lat}&lon={lon}&stationID={station_id}&tc=&mode=regular,低地平原,海岸平原,东侧高地,沿海影响,西北,东侧高地·西侧临海·主城东南侧(城郊),海岸平原,西侧临海,12.7,主城东南侧(城郊)
Tokyo,RJTT,35.5533,139.7811,tokyo,https://aviationweather.gov/api/data/metar?ids=RJTT&format=json&hours=24,https://aviationweather.gov/api/data/metar?ids=RJTT&format=json,https://polymarket.com/search?q=Tokyo%20temperature,https://polymarket.com/event/highest-temperature-in-{city_slug}-on-{date_slug},https://www.wunderground.com/history/daily/RJTT,,,https://www.tropicaltidbits.com/analysis/models/sounding/?model={model}&runtime={runtime}&fh={fh}&lat={lat}&lon={lon}&stationID={station_id}&tc=&mode=regular,填海低地,海湾填海,高地方位不显著,近水体影响,西北,高地方位不显著·东南侧临水·主城南侧(近郊),湾岸填海机场,东南侧临水,18.1,主城南侧(近郊)
Shanghai,ZSPD,31.1434,121.8052,shanghai,https://aviationweather.gov/api/data/metar?ids=ZSPD&format=json&hours=24,https://aviationweather.gov/api/data/metar?ids=ZSPD&format=json,https://polymarket.com/search?q=Shanghai%20temperature,https://polymarket.com/event/highest-temperature-in-{city_slug}-on-{date_slug},https://www.wunderground.com/history/daily/ZSPD,,,https://www.tropicaltidbits.com/analysis/models/sounding/?model={model}&runtime={runtime}&fh={fh}&lat={lat}&lon={lon}&stationID={station_id}&tc=&mode=regular,低地平原,河口海岸,高地方位不显著,沿海影响,西北,高地方位不显著·东侧临海·主城东南侧(远郊),河口海岸机场,东侧临海,30.6,主城东南侧(远郊)
Hong Kong,VHHH,22.3089,113.9146,hong-kong,https://aviationweather.gov/api/data/metar?ids=VHHH&format=json&hours=24,https://aviationweather.gov/api/data/metar?ids=VHHH&format=json,https://polymarket.com/search?q=Hong%20Kong%20temperature,https://polymarket.com/event/highest-temperature-in-{city_slug}-on-{date_slug},https://www.wunderground.com/history/daily/VHHH,,,https://www.tropicaltidbits.com/analysis/models/sounding/?model={model}&runtime={runtime}&fh={fh}&lat={lat}&lon={lon}&stationID={station_id}&tc=&mode=regular,填海低地,海湾填海,东南侧高地,沿海影响,东南,东南侧高地·西北侧临海·主城西侧(远郊),离岸填海机场,西北侧临海,24.3,主城西侧(远郊)
Singapore,WSSS,1.3502,103.9940,singapore,https://aviationweather.gov/api/data/metar?ids=WSSS&format=json&hours=24,https://aviationweather.gov/api/data/metar?ids=WSSS&format=json,https://polymarket.com/search?q=Singapore%20temperature,https://polymarket.com/event/highest-temperature-in-{city_slug}-on-{date_slug},https://www.wunderground.com/history/daily/WSSS,,,https://www.tropicaltidbits.com/analysis/models/sounding/?model={model}&runtime={runtime}&fh={fh}&lat={lat}&lon={lon}&stationID={station_id}&tc=&mode=regular,填海低地,海岸填海,高地方位不显著,沿海影响,西南,高地方位不显著·东侧临海·主城东侧(城郊),海岸填海机场,东侧临海,16.9,主城东侧(城郊)
Sao Paulo,SBGR,-23.4356,-46.4731,sao-paulo,https://aviationweather.gov/api/data/metar?ids=SBGR&format=json&hours=24,https://aviationweather.gov/api/data/metar?ids=SBGR&format=json,https://polymarket.com/search?q=Sao%20Paulo%20temperature,https://polymarket.com/event/highest-temperature-in-{city_slug}-on-{date_slug},https://www.wunderground.com/history/daily/SBGR,,,https://www.tropicaltidbits.com/analysis/models/sounding/?model={model}&runtime={runtime}&fh={fh}&lat={lat}&lon={lon}&stationID={station_id}&tc=&mode=regular,山地起伏,高地盆缘,北侧高地,内陆主导,西南,北侧高地·内陆主导·主城东北侧(城郊),山地高地,内陆主导,20.8,主城东北侧(城郊)
Paris,LFPG,49.0097,2.5479,paris,https://aviationweather.gov/api/data/metar?ids=LFPG&format=json&hours=24,https://aviationweather.gov/api/data/metar?ids=LFPG&format=json,https://polymarket.com/search?q=Paris%20temperature,https://polymarket.com/event/highest-temperature-in-{city_slug}-on-{date_slug},https://www.wunderground.com/history/daily/LFPG,,,https://www.tropicaltidbits.com/analysis/models/sounding/?model={model}&runtime={runtime}&fh={fh}&lat={lat}&lon={lon}&stationID={station_id}&tc=&mode=regular,低地缓丘,盆地平原,高地方位不显著,内陆主导,西南,高地方位不显著·内陆主导·主城东北侧(城郊),盆地平原,内陆主导,22.7,主城东北侧(城郊)
Lucknow,VILK,26.7606,80.8893,lucknow,https://aviationweather.gov/api/data/metar?ids=VILK&format=json&hours=24,https://aviationweather.gov/api/data/metar?ids=VILK&format=json,https://polymarket.com/search?q=Lucknow%20temperature,https://polymarket.com/event/highest-temperature-in-{city_slug}-on-{date_slug},https://www.wunderground.com/history/daily/VILK,,,https://www.tropicaltidbits.com/analysis/models/sounding/?model={model}&runtime={runtime}&fh={fh}&lat={lat}&lon={lon}&stationID={station_id}&tc=&mode=regular,低地平原,内陆平原,高地方位不显著,内陆主导,西南,高地方位不显著·内陆主导·主城南侧(城郊),内陆平原,内陆主导,12.0,主城南侧(城郊)
Munich,EDDM,48.3538,11.7861,munich,https://aviationweather.gov/api/data/metar?ids=EDDM&format=json&hours=24,https://aviationweather.gov/api/data/metar?ids=EDDM&format=json,https://polymarket.com/search?q=Munich%20temperature,https://polymarket.com/event/highest-temperature-in-{city_slug}-on-{date_slug},https://www.wunderground.com/history/daily/EDDM,,,https://www.tropicaltidbits.com/analysis/models/sounding/?model={model}&runtime={runtime}&fh={fh}&lat={lat}&lon={lon}&stationID={station_id}&tc=&mode=regular,低地缓丘,山前平原,南侧高地,内陆主导,北,南侧高地·内陆主导·主城东北侧(远郊),山前平原,内陆主导,28.5,主城东北侧(远郊)
